Year	Authors	Title	Subtitle	ISBN number	Place of publishing	Publisher	Type of document (genre)	Language	Number of pages
2017		Es esmu mazs kaķēns		9789934163340	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Maša un Lācis	krāso ar ūdeni!	9789934163715	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Littlest PetShop	krāsojam un risinām; ar uzlīmēm	9789934163777	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Vāģi	krāso ar ūdeni!	9789934163722	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017	Pikiene, Irma	Mazā mārīte pie ūdeņiem		9789934068621	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017	Pikiene, Irma	Mazā mārīte pļavā		9789934068591	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017	Pikiene, Irma	Mazā mārīte dārzā		9789934068607	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017	Pikiene, Irma	Mazā mārīte mežā		9789934068614	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Pūcītes gudrību somiņa	4 gadi	9789934064890	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Zaķēna gudrību somiņa	4/5 gadi	9789934064913	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Cālēna gudrību somiņa	4 gadi	9789934064906	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Pandas gudrību somiņa	4 gadi	9789934064883	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Smurfu Papa	darbošanās grāmata	9789934065484	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	20
2017		Smurfete	darbošanās grāmata	9789934065477	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	20
2017		Vāģi	krāsu darbi	9789934163906	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		My Little Pony	krāso koši!; ar uzlīmēm	9789934163807	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Ledus sirds. Ziemeļblāzmas burvība	Arendelas stāsti; drosmīgais trollis	9789934163685	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Troļļi	līmē līksmi!	9789934163913	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Brīnumu Zemes stāsti ar Princešu uzlīmēm	krāsojam draudzīgi!	9789934163821	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Barbie videospēles varone	uzdevumu grāmata	9789934163791	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Vāģi	krāsojam aši!	9789934163760	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Maša un Lācis	izkrāso stāstus!	9789934163784	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Disney princeses	košās krāsās	9789934163937	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Jautrie dārza iemītnieki	izkrāso un saskaiti!	9789934200649	Rīga	J.L.V.	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Divpadsmit mēneši	izkrāso pats!	9789934200656	Rīga	J.L.V.	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Divpadsmit mēneši	izkrāso pats!		Rīga	JUMAVA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Disney Vāģi	lielā pužļu grāmata	9789934163470	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		My Little Pony	lielā pužļu grāmata	9789934163487	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Maša un Lācis	lielā pužļu grāmata	9789934163494	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Disney Ledus sirds	lielā pužļu grāmata	9789934163463	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Disney Elena no Avaloras	uzdevumu grāmata	9789934163524	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017	Suesa, Anne 	Gadalaiki	lielā bilžu grāmata	9789934539169	Rīga	BaibaBooks	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Mana pirmā ābecīte		9789934068560	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	34
2017		Mana pirmā matemātika		9789934068553	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Ņau!		9789934066993	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		Vau!		9789934067006	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		Troļļi	vienmēr ar smaidu!; krāsojamā grāmata ar uzlīmēm	9789934164057	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Laukos	glaudāmgrāmatiņa	9789934065514	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Zoodārzā	glaudāmgrāmatiņa	9789934065491	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Mazulīši	glaudāmgrāmatiņa	9789934065507	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Pūkainīši	glaudāmgrāmatiņa	9789934065521	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017	Putāne, Dace	Burti dārzā	jautra bilžu grāmatiņa ar dzejoļiem un uzdevumiem par dabu un burtiem	9789934192036	Rīga	Rīgas Interešu izglītības metodiskais centrs	Praktiskā, attīstošā literatūra bērniem	Latviešu	80
2017		Satiksme	uzdevumi un uzlīmes	9789934067648	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Laukos	uzdevumi un uzlīmes	9789934067655	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017	Sudare, Inese	Praktiskie darbi (uzdevumi)	bērniem no 4 gadiem	9789934192562	Rīga	Inese Sudare	Praktiskā, attīstošā literatūra bērniem	Latviešu	60
2017	Ridels, Kriss	366 radošas dienas	gadagrāmata	9789934062728	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	378
2017		Vāģi 3	krāsojamā grāmata	9789934163883	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Vāģi 3	uzdevumu grāmata ar uzlīmēm	9789934163876	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Maša un Lācis	aizraujoši uzdevumi ar uzlīmēm	9789934164200	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Maša un Lācis	gadalaiki krāsās; ar uzlīmēm	9789934164002	Rīga	Egmont Latvija	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Disney Minnie	Krāsojamā grāmata ar uzlīmēm	9789934163975	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
